,Predicted
10,"spleen male adult (37 years) EnTEX: Spleen = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K4me1 - Genome assembly: GRCh38,hg19 - Biosample term name: spleen - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 37 - Age units: year - Sex: male - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: histone,narrow histone mark $ <pad>"
11,"sample alias: fSpinal_Cord.H-24244d96; sample common name: Fetal Spinal Cord; molecule: genomic DNA; disease: None; biomaterial_provider: University of Washington, Congenital Defects Lab. Ian Glass; biomaterial_type: Primary Tissue; tissue_type: Fetal Spinal Cord; tissue_depot: UW; collection_method: fetal; donor_id: H-24244; donor_age: day 96; donor_health_status: NA; donor_sex: Male; donor_ethnicity: NA; experiment_type: Chromatin Accessibility; extraction_protocol: Qiagen minElut; dnase_protocol: http://www.roadmapepigenomics.org/protocols/type/experimental/ Design description: Chromatin accessibility determination via DNase-seq; Library name: DNase.DS19260; EDACC Genboree Experiment Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUniversity%20of%20Washington%2FEXPERIMENT%2FEDACC.14296; EDACC Genboree Sample Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUniversity%20of%20Washington%2FSAMPLE%2FEDACC.14295; ; For data usage terms and conditions, please refer to:; http://www.drugabuse.gov/funding/funding-opportunities/nih-common-fund/epigenomics-data-access-policies;   spinal cord male embryo (96 days) Spinal cord tissue from a healthy day 96 male fetus from Ian Glass of University of Washington, Congenital Defects Lab. = Assay name: DNase-seq - Assay type: DNA accessibility - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: spinal cord - Project: Roadmap - Organism: Homo sapiens - Life stage: embryonic - Age: 96 - Age units: day - Sex: male - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $ <pad>"
12,"eGFP-BCL11A ChIP-seq on human HEK293 cells. HEK293 genetically modified using site-specific recombination originated from HEK293 HEK293 cell line stably expressing N-terminal tagged eGFP-BCL11A under the control of a CMV promoter. = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: BCL11A - Genome assembly: GRCh38,hg19 - Biosample term name: HEK293 - Project: ENCODE - Organism: Homo sapiens - Life stage: embryonic - Age: unknown - Age units: None - Sex: female - Ethnicity: None - Health status: unknown - Classification: cell line - Investigated as: transcription factor $ <pad>"
13,"RNA-seq on HepG2 cells treated with an shRNA knockdown against TUFM. (TUFM-BGHLV23) HepG2 genetically modified using RNAi RNA-seq on HepG2 cells treated with an shRNA knockdown against TUFM. (TUFM-BGHLV23-54),RNA-seq on HepG2 cells treated with an shRNA knockdown against TUFM. (TUFM-BGHLV23-53) = Assay name: shRNA knockdown followed by RNA-seq - Assay type: Transcription - Target of assay: TUFM - Genome assembly: GRCh38,hg19 - Biosample term name: HepG2 - Project: ENCODE - Organism: Homo sapiens - Life stage: child - Age: 15 - Age units: year - Sex: male - Ethnicity: Caucasian - Health status: hepatocellular carcinoma - Classification: cell line - Investigated as: RNA binding protein $ <pad>"
14,strain TB528 (ceh-14(ch3) X) whole organism hermaphrodite 50 minutes post synchronization using egg bleaching genetically modified using mutagen treatment DeletionMutant = Assay name: RNA-seq - Assay type: Transcription - Target of assay: ceh-14 - Genome assembly: None - Biosample term name: whole organism - Project: modERN - Organism: Caenorhabditis elegans - Life stage: unknown - Age: unknown - Age units: None - Sex: hermaphrodite - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: transcription factor $ <pad>
15,strain YL620 (ceh-18(tm6181)X) whole organism hermaphrodite 650 minutes post synchronization using egg bleaching genetically modified using mutagen treatment DeletionMutant = Assay name: RNA-seq - Assay type: Transcription - Target of assay: ceh-18 - Genome assembly: None - Biosample term name: whole organism - Project: modERN - Organism: Caenorhabditis elegans - Life stage: unknown - Age: unknown - Age units: None - Sex: hermaphrodite - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: transcription factor $ <pad>
16,"molecule: genomic DNA; disease: None; biomaterial_provider: Tlsty Lab, University of California, San Francisco; biomaterial_type: Primary Cell Culture; cell_type: Variant Human Mammary Epithelial Cells; markers: NA; culture_conditions: spilt 1:5 in MEGM medium (Lonza Inc.); donor_id: RM035; donor_age: 18; donor_health_status: Disease Free; donor_sex: Female; donor_ethnicity: Caucasian; passage_if_expanded: 8; karyotype: 46,XX,1dmin; parity: N/A; experiment_type: ChIP-Seq Input; extraction_protocol: Farnham Lab Protocol; extraction_protocol_type_of_sonicator: Bioruptor; extraction_protocol_sonication_cycles: 25min; chip_protocol: Input; chip_protocol_chromatin_amount: 100ng; size_fraction: 213-563bp Design description: ChIP-Seq Input Breast; Library name: HS1995; EDACC Genboree Experiment Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUCSF-UBC%2FEXPERIMENT%2FEDACC.3609; EDACC Genboree Sample Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUCSF-UBC%2FSAMPLE%2FEDACC.2872; ; For data usage terms and conditions, please refer to:; http://www.drugabuse.gov/funding/funding-opportunities/nih-common-fund/epigenomics-data-access-policies;   mammary epithelial cell female adult (18 years) Breast variant human mammary epithelial cell from a healthy 18 year old Caucasian female donor. Cells provided by the Thea Tlsty lab. = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: mammary epithelial cell - Project: Roadmap - Organism: Homo sapiens - Life stage: adult - Age: 18 - Age units: year - Sex: female - Ethnicity: Caucasian - Health status: healthy - Classification: primary cell - Investigated as: None $ <pad>"
17,"datatype: DnaseSeq; datatype description: DNaseI HS Sequencing; controlid: generic_male; labversion: baseAlignCounts.pl v 1,fseq v 1.84, iff_generic_male,p-value cutoff: 0.05,1% ENCODE array platform validation tests; replicate: 1,3,2; cell organism: human; cell description: prostate adenocarcinoma, ""LNCaP clone FGC was isolated in 1977 by J.S. Horoszewicz, et al., from a needle aspiration biopsy of the left supraclavicular lymph node of a 50-year-old caucasian male (blood type B+) with confirmed diagnosis of metastatic prostate carcinoma."" - ATCC. (Horoszewicz et al. LNCaP Model of Human Prostatic Carcinoma. Cancer Research 43, 1809-1818, April 1983.); cell karyotype: cancer; cell lineage: endoderm; cell sex: M; controlid: generic_male; labversion: align_on_cluster_bwa.pl v 1; replicate: 1; replicate description: tier 1 DNase-seq on human LNCaP LNCaP clone FGC prostate adenocarcinoma, LNCaP clone FGC was isolated in 1977 by J.S. Horoszewicz, et al., from a needle aspiration biopsy of the left supraclavicular lymph node of a 50-year-old caucasian male (blood type B+) with confirmed diagnosis of metastatic prostate carcinoma. - ATCC. (Horoszewicz et al. LNCaP Model of Human Prostatic Carcinoma. Cancer Research 43, 1809-1818, April 1983.) = Assay name: DNase-seq - Assay type: DNA accessibility - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: LNCaP clone FGC - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 50 - Age units: year - Sex: male - Ethnicity: Caucasian - Health status: prostate adenocarcinoma - Classification: cell line - Investigated as: None $ <pad>"
18,lab: Stanford-m; lab description: Snyder - Stanford University; datatype: RnaSeq; datatype description: Sequencing analysis of RNA expression; cell: CH12; cell organism: mouse; cell description: B-cell lymphoma (GM12878 analog); cell sex: F; treatment: None; treatment description: No special treatment or protocol applies; age: immortalized; age description: Immortal cells; readtype: 2x101D; readtype description: Paired 101 nt directed reads; replicate: 1; strain: B10.H-2aH-4bp/Wts; strain description: Derived by inbreeding from selected F2 progeny of B10.A X B10.129 Stanford mouse CH12 RNA-seq B10.H-2aH-4bp/Wts CH12.LX B-cell lymphoma = Assay name: RNA-seq - Assay type: Transcription - Target of assay: None - Genome assembly: mm10 - Biosample term name: CH12.LX - Project: ENCODE - Organism: Mus musculus - Life stage: unknown - Age: unknown - Age units: None - Sex: female - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $ <pad>
19,"dilution HindIII IMR90 experiment IMR-90 = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K4me1 - Genome assembly: GRCh38,hg19 - Biosample term name: IMR-90 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 69 - Age units: year - Sex: female - Ethnicity: Caucasian - Health status: fetal - Classification: cell line - Investigated as: histone,narrow histone mark $ <pad>"
20,"datatype: ChipSeq; datatype description: Chromatin IP Sequencing; cell description: B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed; treatment: None; treatment description: No special treatment or protocol applies; antibody antibodydescription: Rabbit polyclonal. Antibody Target: CTCF; antibody targetdescription: CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.; antibody vendorname: Millipore; antibody vendorid: 07-729; controlid: generic_male; labversion: baseAlignCounts.pl v 1,fseq v 1.84, iff_generic_male,p-value cutoff: 0.05; replicate: 1,2; antibody targetdescription: CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.; antibody vendorname: Millipore; antibody vendorid: 07-729; controlid: generic_male; labversion: align_on_cluster_bwa.pl v 1; replicate: 1; replicate description: tier 1 CTCF ChIP-seq on human GM12891 GM12891 B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: CTCF - Genome assembly: GRCh38,hg19 - Biosample term name: GM12891 - Project: ENCODE - Organism: Homo sapiens - Life stage: unknown - Age: unknown - Age units: None - Sex: male,female - Ethnicity: Caucasian - Health status: unknown - Classification: cell line - Investigated as: transcription factor $ <pad>"
21,"The libraries contained in this Experiment come from tissue sub-sections of a 51 year old female's tibial nerve tissue section obtained from GTEx. They are stranded PE101 Illumina Hi-Seq RNA-Seq libraries from rRNA-depleted Total RNA > 200 nucleotides in size. tibial nerve female adult (51 year) Tibial nerve tissue from received by the Gingeras lab to do RNA-Seq assay on from GTEx. = Assay name: RNA-seq - Assay type: Transcription - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: tibial nerve - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 51 - Age units: year - Sex: female - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $ <pad>"
22,"TCF12 ChIP-seq protocol PCR1x on human H1-hESC H1 embryonic stem cells = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: TCF12 - Genome assembly: GRCh38,hg19 - Biosample term name: H1 - Project: ENCODE - Organism: Homo sapiens - Life stage: embryonic - Age: unknown - Age units: None - Sex: male - Ethnicity: None - Health status: healthy - Classification: cell line - Investigated as: transcription factor $ <pad>"
23,RNA Bind-n-Seq (RBNS) pulldown experiment against FUS = Assay name: RNA Bind-n-Seq - Assay type: RNA binding - Target of assay: FUS - Genome assembly: None - Biosample term name: cell-free sample - Project: ENCODE - Organism: None - Life stage: None - Age: None - Age units: None - Sex: None - Ethnicity: None - Health status: None - Classification: None - Investigated as: RNA binding protein $ <pad>
24,cJun ChIP-seq on A549 cell line treated with 100 nM dexamethasone for 6 hours. A549 treated with 100 nM dexamethasone for 6 hours = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: JUN - Genome assembly: GRCh38 - Biosample term name: A549 - Project: GGR - Organism: Homo sapiens - Life stage: adult - Age: 58 - Age units: year - Sex: male - Ethnicity: Caucasian - Health status: None - Classification: cell line - Investigated as: transcription factor $ <pad>
25,"sample_term_id: CL_0000019; assay_term_id: OBI_0001863; nucleic_acid_term_id: SO_0000352; Design description: Bisulfite-Seq analysis of testis sperm cell from 399ROQ using Illumina HiSeq 2000; Library name: A27342; EDACC Genboree Experiment Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUCSF-UBC%2FEXPERIMENT%2FEDACC.19388; EDACC Genboree Sample Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUCSF-UBC%2FSAMPLE%2FEDACC.19354; ; For data usage terms and conditions, please refer to:; http://www.drugabuse.gov/funding/funding-opportunities/nih-common-fund/epigenomics-data-access-policies;   sperm male adult (25 years) Testis spermatozoa cells from a healthy 25 year old Caucasian male donor. Sample provided by Pedro Caballero-Campo, Clinica Tambre in Madrid, Spain = Assay name: whole-genome shotgun bisulfite sequencing - Assay type: DNA methylation - Target of assay: None - Genome assembly: None - Biosample term name: testis sperm - Project: Roadmap - Organism: Homo sapiens - Life stage: adult - Age: 25 - Age units: year - Sex: male - Ethnicity: Caucasian - Health status: healthy - Classification: primary cell - Investigated as: None $ <pad>"
26,"H3K27ac ChIP-seq on A549 cell line treated with 100 nM dexamethasone for 5 hours. A549 treated with 100 nM dexamethasone for 5 hours = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K27ac - Genome assembly: GRCh38 - Biosample term name: A549 - Project: GGR - Organism: Homo sapiens - Life stage: adult - Age: 58 - Age units: year - Sex: male - Ethnicity: Caucasian - Health status: None - Classification: cell line - Investigated as: histone,narrow histone mark $ <pad>"
27,"lab: UW; lab description: Stamatoyannopoulous - University of Washington; datatype: ChipSeq; datatype description: Chromatin IP Sequencing; cell: HA-sp; cell organism: human; cell description: astrocytes spinal cord; cell karyotype: normal; cell lineage: ectoderm; cell sex: U; antibody: H3K4me3; antibody antibodydescription: rabbit polyclonal. Antibody Target: H3K4me3; antibody targetdescription: Histone H3 (tri methyl K4). Marks promoters that are active or poised to be activated.; antibody vendorname: Millipore; antibody vendorid: 07-473; treatment: None; treatment description: No special treatment or protocol applies; control: std; control description: Standard input signal for most experiments.; controlid: wgEncodeEH000974; labexpid: DS16044; labversion: Bowtie 0.12.7; replicate: 1 H3K4me3 ChIP-seq on human HA-sp astrocyte of the spinal cord astrocytes spinal cord = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K4me3 - Genome assembly: GRCh38,hg19 - Biosample term name: astrocyte of the spinal cord - Project: ENCODE - Organism: Homo sapiens - Life stage: unknown - Age: unknown - Age units: None - Sex: unknown - Ethnicity: None - Health status: unknown - Classification: primary cell - Investigated as: histone,narrow histone mark $ <pad>"
28,"molecule: genomic DNA; disease: None; biomaterial_provider: Weiss Lab UCSF; biomaterial_type: Primary Cell; cell_type: Peripheral Blood Mononuclear Cell; markers: None; donor_id: TC010; donor_age: 28; donor_health_status: Disease Free; donor_sex: Male; donor_ethnicity: Caucasian; passage_if_expanded: n/a; karyotype: 46, XY; parity: NA; blood_type: O+; experiment_type: ChIP-Seq Input; extraction_protocol: Farnham Lab Protocol; extraction_protocol_type_of_sonicator: Bioruptor; extraction_protocol_sonication_cycles: 30min; chip_protocol: Input; chip_protocol_chromatin_amount: 1ug; size_fraction: 38-269bp Design description: ChIP-Seq Input Blood; Library name: HS2626; EDACC Genboree Experiment Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUCSF-UBC%2FEXPERIMENT%2FEDACC.3613; EDACC Genboree Sample Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUCSF-UBC%2FSAMPLE%2FEDACC.3471; ; For data usage terms and conditions, please refer to:; http://www.drugabuse.gov/funding/funding-opportunities/nih-common-fund/epigenomics-data-access-policies;   peripheral blood mononuclear cell male adult (28 years) Peripheral blood mononuclear cells from a healthy 28 year old Caucasian male donor. Cells were treated with Ficoll-Hypaque upon collection by the Arthur Weiss lab. = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: peripheral blood mononuclear cell - Project: Roadmap - Organism: Homo sapiens - Life stage: adult - Age: 28 - Age units: year - Sex: male - Ethnicity: Caucasian - Health status: healthy - Classification: primary cell - Investigated as: None $ <pad>"
29,"lab: PSU-m; lab description: Hardison - Penn State University; datatype: ChipSeq; datatype description: Chromatin IP Sequencing; cell: G1E-ER4; cell organism: mouse; cell description: Gata1 restored erythroid cells, differentiation induced by estradiol (E2); cell sex: M; antibody: Input; antibody description: Control signal which may be subtracted from experimental raw signal before peaks are called.; treatment: None; treatment description: No special treatment or protocol applies; labexpid: Timecourse; age: E0; age description: Embryonic day 0 (stem cell); control: Input; control description: Control signal which may be subtracted from experimental raw signal before peaks are called.; controlid: wgEncodeEM003202; labexpid: Timecourse; replicate: 1; strain: 129; strain description: Strain 129, has widely available embryonic stem cells Control ChIP-seq on mouse G1E-ER4 non-differentiated 129 G1E-ER4 Gata1 restored erythroid cells, differentiation induced by estradiol (E2) = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: mm9,mm10 - Biosample term name: G1E-ER4 - Project: ENCODE - Organism: Mus musculus - Life stage: postnatal - Age: 0 - Age units: day - Sex: male - Ethnicity: None - Health status: None - Classification: cell line - Investigated as: None $ <pad>"
30,"Input ChIP-seq in L4-young adult worms. strain OP34 (unc-119(ed3) III; wgIs34) whole organism genetically modified using bombardment = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: ce11,ce10 - Biosample term name: whole organism - Project: modENCODE - Organism: Caenorhabditis elegans - Life stage: unknown - Age: unknown - Age units: None - Sex: mixed - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: None $ <pad>"
31,Total RNA-seq on Drosophila embryos using the SOLiD platform. strain yellow cinnabar brown speck whole organism embryo 22-24 hours post synchronization at egg laying stage = Assay name: RNA-seq - Assay type: Transcription - Target of assay: None - Genome assembly: None - Biosample term name: whole organism - Project: modENCODE - Organism: Drosophila melanogaster - Life stage: embryonic - Age: unknown - Age units: None - Sex: mixed - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: None $ <pad>
32,"H3K9me3 ChIP-seq on embryonic 11.5 day (e11.5) mouse neural tube C57BL/6 neural tube embryo (11.5 days) Neural tube from 88 embyronic 11.5 day mice,Neural tube from 109 embyronic 11.5 day mice = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K9me3 - Genome assembly: mm10 - Biosample term name: neural tube - Project: ENCODE - Organism: Mus musculus - Life stage: embryonic - Age: 11.5 - Age units: day - Sex: mixed - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: histone,broad histone mark $ <pad>"
33,"ChIP-seq on transgenic flies expressing ss-RB-eGFP fusion proteins. The IP was performed using an anti-GFP antibody. VK00037 whole organism prepupa (24 hours) genetically modified using site-specific recombination Transgenic D. mel line, stably expressing a C-terminal GFP fused to ss-RB = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: ss-RB - Genome assembly: dm6,dm3 - Biosample term name: whole organism - Project: modERN - Organism: Drosophila melanogaster - Life stage: prepupa - Age: 24 - Age units: hour - Sex: mixed - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: transcription factor $ <pad>"
34,HudsonAlpha DNA Methylation Array of right cardiac atrium right atrium auricular region female adult (51 year) = Assay name: DNA methylation profiling by array assay - Assay type: DNA methylation - Target of assay: None - Genome assembly: None - Biosample term name: right atrium auricular region - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 51 - Age units: year - Sex: female - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $ <pad>
35,strain YL623 (lin-11(tm5323)I) whole organism 50 minutes post synchronization using egg bleaching genetically modified using mutagen treatment DeletionMutant = Assay name: RNA-seq - Assay type: Transcription - Target of assay: lin-11 - Genome assembly: None - Biosample term name: whole organism - Project: modERN - Organism: Caenorhabditis elegans - Life stage: unknown - Age: unknown - Age units: None - Sex: unknown - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: transcription factor $ <pad>
